,actor_1,actor_2,actor_3,country,director,genre_1,genre_2,imdb_link,rating_people,rating_score,runtime,screenwriter,star4,star5,title,year
227,费尔兰德·蒙特纳哥,马里利娅·佩拉,文尼西斯·狄·奥利维拉,http,沃尔特·塞勒斯,剧情,,http://www.centraldobrasil.com.br/front.htm,68391,8.7,113 分钟,马科斯·伯恩斯坦,44.2%,45.3%,中央车站 Central do Brasil,1998
228,杰克·尼科尔森,摩根·弗里曼,西恩·海耶斯,美国,罗伯·莱纳,剧情,喜剧,http://www.imdb.com/title/tt0825232,104231,8.5,97 分钟,Justin Zackham,46.1%,39.7%,遗愿清单 The Bucket List,2007
229,布拉德·皮特,本尼西奥·德尔·托罗,杰森·斯坦森,英国/美国,盖·里奇,喜剧,犯罪,http://www.imdb.com/title/tt0208092,99554,8.5,104 分钟,盖·里奇,46.3%,40.1%,偷拐抢骗 Snatch,2000
230,凯文·史派西,凯特·温丝莱特,劳拉·琳妮,美国/德国/英国,艾伦·帕克,剧情,悬疑,http://www.imdb.com/title/tt0289992,68932,8.7,130 分钟,查尔斯·伦道夫,42.8%,46.0%,大卫·戈尔的一生 The Life of David Gale,2003
231,,,,,,,,,,,,,,,,
232,科林·费尔斯,杰弗里·拉什,海伦娜·伯翰·卡特,英国/澳大利亚/美国,汤姆·霍珀,剧情,传记,http://www.imdb.com/title/tt1504320,293263,8.3,118分钟,大卫·塞德勒,51.4%,31.8%,国王的演讲 The King's Speech,2010
233,迈尔斯·特勒,J·K·西蒙斯,保罗·雷瑟,美国,达米安·沙泽勒,剧情,音乐,http://www.imdb.com/title/tt2582802,182733,8.6,107分钟,达米安·沙泽勒,41.3%,44.9%,爆裂鼓手 Whiplash,2014
234,莱昂纳多·迪卡普里奥,詹妮弗·康纳利,杰曼·翰苏,美国/德国,爱德华·兹威克,剧情,惊悚,http://www.imdb.com/title/tt0450259,107373,8.5,143 分钟,查尔斯·里维特,49.0%,37.3%,血钻 Blood Diamond,2006
235,汤姆·汉克斯,海伦·亨特,克里斯·诺斯,美国,罗伯特·泽米吉斯,剧情,冒险,http://www.imdb.com/title/tt0162222,111021,8.4,143分钟,威廉·保尔斯·杰宁,48.2%,37.2%,荒岛余生 Cast Away,2000
236,山姆·洛克威尔,凯文·史派西,多米妮克·麦克艾丽戈特,英国,邓肯·琼斯,剧情,科幻,http://www.imdb.com/title/tt1182345,120326,8.5,97 分钟,邓肯·琼斯,46.9%,39.0%,月球 Moon,2009
237,小野二郎 ,小野祯一,小野隆,日语,大卫·贾柏,纪录片,,http://www.imdb.com/title/tt1772925,66624,8.8,,小野二郎 ,38.5%,50.9%,寿司之神 Jiro Dreams of Sushi,2011
238,桥本爱,三浦贵大,松冈茉优,日本,森淳一,剧情,,http://www.imdb.com/title/tt3474602,77084,8.9,120分钟,森淳一,36.1%,54.9%,小森林 冬春篇 リトル?フォレスト 冬?春,2015
239,伊桑·霍克,乌玛·瑟曼,裘德·洛,美国,安德鲁·尼科尔,剧情,科幻,http://www.imdb.com/title/tt0119177,66233,8.7,106分钟,安德鲁·尼科尔,41.6%,46.2%,千钧一发 Gattaca,1997
240,宋在浩,李顺载,尹秀晶,www.iloveyou2011.co.kr/,秋昌民,剧情,爱情,http://www.iloveyou2011.co.kr/,44231,9.0,118分钟,姜草,31.5%,59.6%,我爱你 ??? ?????,2011
241,吴镇宇,任达华,黄秋生,香港,杜琪峰,剧情,动作,http://www.imdb.com/title/tt0220644,79477,8.6,84分钟(香港),游乃海,41.3%,44.2%,枪火 鎗火,1999
242,罗素·克劳,杰昆·菲尼克斯,康妮·尼尔森,英国/美国,雷德利·斯科特,剧情,动作,http://www.imdb.com/title/tt0172495,112620,8.4,155分钟,大卫·弗兰佐尼,45.9%,37.6%,角斗士 Gladiator,2000
243,克林特·伊斯特伍德,梅丽尔·斯特里普,Annie Corley,美国,克林特·伊斯特伍德,剧情,爱情,http://www.imdb.com/title/tt0112579,80656,8.5,135 分钟,理查德·拉·格拉文斯,41.5%,43.4%,廊桥遗梦 The Bridges of Madison County,1995
244,小林薰,椎名桔平,香川照之,日本,崔洋一,剧情,,http://www.imdb.com/title/tt0400761,106308,8.4,100分钟,丸山升一,45.5%,38.1%,导盲犬小Q クイール,2004
245,郭涛,刘桦,连晋,中国大陆/香港,宁浩,喜剧,犯罪,http://www.imdb.com/title/tt0843270,255550,8.2,106 分钟(香港),张承,46.1%,32.5%,疯狂的石头,2006
246,约翰尼·德普,莱昂纳多·迪卡普里奥,朱丽叶特·刘易斯,美国,莱塞·霍尔斯道姆,剧情,爱情,http://www.imdb.com/title/tt0108550,71565,8.6,118分钟,皮特·海格斯,44.9%,42.8%,不一样的天空 What's Eating Gilbert Grape,1993
247,孙艺珍,曹承佑,赵寅成,韩国,郭在容,剧情,爱情,http://www.imdb.com/title/tt0348568,195087,8.2,127 分钟,郭在容,41.5%,35.7%,假如爱有天意 ???,2003
248,宫哲,金雅琴,罗忠学,中国大陆,马俪文,剧情,,http://www.imdb.com/title/tt0757376,65241,8.6,88分钟,马俪文,42.9%,44.8%,我们俩,2005
249,范·迪塞尔,保罗·沃克,道恩·强森,www.fastfivemovie.com,林诣彬,剧情,动作,http://www.fastfivemovie.com,192528,8.4,130分钟,克里斯·摩根,44.1%,39.3%,速度与激情5 Fast Five,2011
