title,year,rating_score,rating_people,runtime,star5,star4,director,screenwriter,actor_1,actor_2,actor_3,country,genre_1,genre_2,imdb_link,quote
美国往事,1984,9.1,150434,229,62.2%,30.1%,赛尔乔·莱翁内,皮耶罗·德·伯纳迪,罗伯特·德尼罗,詹姆斯·伍兹,詹妮弗·康纳利,www.onceuponatimeinamerica.net,剧情,犯罪,http://www.onceuponatimeinamerica.net,往事如烟，无处祭奠。
勇敢的心,1995,8.8,263901,177,53.3%,35.3%,梅尔·吉布森,兰道尔·华莱士,梅尔·吉布森,苏菲·玛索,布莱恩·考克斯,美国,剧情,动作,http://www.imdb.com/title/tt0112573,史诗大片的典范。
剪刀手爱德华,1990,8.7,426467,105,47.6%,39.4%,蒂姆·波顿,卡罗琳·汤普森,约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特,美国,剧情,爱情,http://www.imdb.com/title/tt0099487,浪漫忧郁的成人童话。
钢琴家,2002,9.0,176356,150,56.9%,35.7%,罗曼·波兰斯基,罗纳德·哈伍德,艾德里安·布洛迪,托马斯·克莱舒曼,艾米莉娅·福克斯,法国/德国/英国/波兰,剧情,传记,http://www.imdb.com/title/tt0253474,音乐能化解仇恨。
致命魔术,2006,8.8,295134,130,50.3%,39.3%,克里斯托弗·诺兰,乔纳森·诺兰,克里斯蒂安·贝尔,休·杰克曼,迈克尔·凯恩,美国/英国,剧情,悬疑,http://www.imdb.com/title/tt0482571,孪生蝙蝠侠大战克隆金刚狼。
狮子王,1994,8.8,245472,89,52.7%,37.0%,罗杰·阿勒斯,艾琳·梅琪,乔纳森·泰勒·托马斯,马修·布罗德里克,杰瑞米·艾恩斯,美国,剧情,动画,http://www.imdb.com/title/tt0110357,动物版《哈姆雷特》。
被嫌弃的松子的一生,2006,8.9,224919,130,55.8%,33.4%,中岛哲也,中岛哲也,中谷美纪,瑛太,香川照之,日本,剧情,歌舞,http://www.imdb.com/title/tt0768120,以戏谑来戏谑戏谑。
音乐之声,1965,8.9,203233,174,54.5%,35.9%,罗伯特·怀斯,恩斯特·莱赫曼,朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克,美国,剧情,爱情,http://www.imdb.com/title/tt0059742,用音乐化解仇恨，让歌声串起美好。
小鞋子,1997,9.1,114326,89,63.0%,31.4%,马基德·马基迪,马基德·马基迪,Amir Farrokh Hashemian,默罕默德·阿米尔·纳吉,Bahare Seddiqi,http,剧情,家庭,http://www.cinemajidi.com/children/,奔跑的孩子是天使。
低俗小说,1994,8.7,284902,154,50.8%,36.9%,昆汀·塔伦蒂诺,昆汀·塔伦蒂诺,约翰·特拉沃尔塔,乌玛·瑟曼,阿曼达·普拉莫,美国,剧情,犯罪,http://www.imdb.com/title/tt0110912,故事的高级讲法。
入殓师,2008,8.8,284977,130,49.8%,39.8%,泷田洋二郎,小山薰堂,本木雅弘,广末凉子,山崎努,www.okuribito.jp,剧情,,http://www.okuribito.jp,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
蝴蝶效应,2004,8.7,335908,113,46.6%,41.0%,埃里克·布雷斯,J.麦基·格鲁伯,阿什顿·库彻,艾米·斯马特,埃尔登·汉森,美国/加拿大,剧情,科幻,http://www.imdb.com/title/tt0289879,人的命运被自己瞬间的抉择改变。
辩护人,2013,9.1,155609,127,62.1%,31.7%,杨宇硕,杨宇硕,宋康昊,吴达洙,金英爱,www.lawyersong.kr,剧情,,http://www.lawyersong.kr,电影的现实意义大过电影本身。
沉默的羔羊,1991,8.7,302816,118,46.6%,42.0%,乔纳森·戴米,Thomas Harris,朱迪·福斯特,安东尼·霍普金斯,斯科特·格伦,美国,剧情,惊悚,http://www.imdb.com/title/tt0102926,安东尼·霍普金斯的顶级表演。
玛丽和马克思,2009,8.9,212415,80,55.9%,34.1%,亚当·艾略特,亚当·艾略特,托妮·科莱特,菲利普·塞默·霍夫曼,艾瑞克·巴纳,www.maryandmax.com/,剧情,爱情,http://www.maryandmax.com/,你是我最好的朋友，你是我唯一的朋友 。
本杰明·巴顿奇事,2008,8.7,348215,166,48.1%,39.2%,大卫·芬奇,艾瑞克·罗斯,布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森,美国,剧情,爱情,http://www.imdb.com/title/tt0421715,在时间之河里感受溺水之苦。
饮食男女,1994,9.0,149571,124,55.5%,37.2%,李安,李安,吴倩莲,杨贵媚,王渝文,台湾/美国,剧情,家庭,http://www.imdb.com/title/tt0111797,人生不能像做菜，把所有的料都准备好了才下锅。
黑客帝国,1999,8.7,240901,136,51.5%,35.7%,莉莉·沃卓斯基,莉莉·沃卓斯基,基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩,美国/澳大利亚,动作,科幻,http://www.imdb.com/title/tt0133093,视觉革命。
拯救大兵瑞恩,1998,8.8,197712,169,50.8%,38.9%,史蒂文·斯皮尔伯格,罗伯特·罗达特,汤姆·汉克斯,汤姆·塞兹摩尔,爱德华·伯恩斯,http,剧情,历史,http://www.rzm.com/pvt.ryan/index.html,美利坚精神输出大片No1.
西西里的美丽传说,2000,8.7,290904,109,45.5%,42.6%,朱塞佩·托纳多雷,朱塞佩·托纳多雷,莫妮卡·贝鲁奇,圭塞佩·苏尔法罗,Luciano Federico,意大利/美国,剧情,情色,http://www.imdb.com/title/tt0213847,美丽无罪。
控方证人,1957,9.5,54337,116,79.6%,18.3%,比利·怀德,阿加莎·克里斯蒂,泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿,美国,剧情,悬疑,http://www.imdb.com/title/tt0051201,比利·怀德满分作品。
幽灵公主,1997,8.8,202235,134,50.5%,38.0%,宫崎骏,宫崎骏,松田洋治,石田百合子,田中裕子,日本,动画,奇幻,http://www.imdb.com/title/tt0119698,人与自然的战争史诗。
心灵捕手,1997,8.7,227224,126,47.6%,41.6%,格斯·范·桑特,本·阿弗莱克,马特·达蒙,罗宾·威廉姆斯,本·阿弗莱克,美国,剧情,,http://www.imdb.com/title/tt0119217,人生中应该拥有这样的一段豁然开朗。
第六感,1999,8.8,200005,107,49.2%,40.4%,M·奈特·沙马兰,M·奈特·沙马兰,布鲁斯·威利斯,海利·乔·奥斯蒙,托妮·科莱特,美国,剧情,悬疑,http://www.imdb.com/title/tt0167404,深入内心的恐怖，出人意料的结局。
大鱼,2003,8.7,216714,125,49.8%,38.1%,蒂姆·波顿,Daniel Wallace,伊万·麦克格雷格,阿尔伯特·芬尼,比利·克鲁德普,美国,剧情,家庭,http://www.imdb.com/title/tt0319061,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
阳光灿烂的日子,1994,8.7,232313,134,47.8%,40.6%,姜文,姜文,夏雨,宁静,陶虹,中国大陆/香港,剧情,,http://www.imdb.com/title/tt0111786,一场华丽的意淫。
让子弹飞,2010,8.7,554242,132,49.6%,36.8%,姜文,朱苏进,姜文,葛优,周润发,中国大陆/香港,剧情,喜剧,http://www.imdb.com/title/tt1533117,你给我翻译翻译，神马叫做TMD的惊喜。
射雕英雄传之东成西就,1993,8.7,235659,100,52.6%,32.3%,刘镇伟,刘镇伟,梁朝伟,林青霞,张国荣,香港,喜剧,古装,http://www.imdb.com/title/tt0108074,百看不厌。 
